trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
6550003612020,09:06:34,09:06:34,13195,6,"UChicago Hospitals",0,48296
6540003612020,09:07:13,09:07:13,14023,7,"UChicago Hospitals",0,49052
6550003612020,09:10:00,09:10:00,15164,8,"UChicago Hospitals",0,51058
6550003612020,08:35:00,08:35:00,5024,1,"UChicago Hospitals",0,0
6540003612020,08:38:34,08:38:34,4992,2,"UChicago Hospitals",0,1149
6540003612020,08:42:55,08:42:55,316,3,"UChicago Hospitals",0,9108
6540003612020,08:59:16,08:59:16,17646,4,"UChicago Hospitals",0,39908
6550003612020,09:04:23,09:04:23,13197,5,"UChicago Hospitals",0,46528
6540009234020,15:45:00,15:45:00,14023,1,"Ogilvie Station",0,0
6540009234020,15:46:35,15:46:35,15164,2,"Ogilvie Station",0,2006
6540009234020,16:13:20,16:13:20,16140,3,"Ogilvie Station",0,35184
6550009234020,16:19:28,16:19:28,5009,4,"Ogilvie Station",0,42873
6550009234020,16:20:30,16:20:30,455,5,"Ogilvie Station",0,44208
6540010041020,14:30:00,14:30:00,18311,1,"Western Brown Line",0,0
6540010041020,14:31:09,14:31:09,1719,2,"Western Brown Line",0,915
6540010041020,14:33:35,14:33:35,14591,3,"Western Brown Line",0,2654
6550010041020,14:34:11,14:34:11,1375,4,"Western Brown Line",0,3365
6550010041020,14:34:30,14:34:30,1662,5,"Western Brown Line",0,3751
6540017359020,00:55:00,00:55:00,1662,1,"Foster",0,0
6540017359020,00:55:45,00:55:45,14592,2,"Foster",0,1099
6550017359020,00:57:15,00:57:15,1664,3,"Foster",0,2482
6550017359020,00:58:30,00:58:30,14527,4,"Foster",0,3699
6540025444020,17:00:00,17:00:00,6131,1,"Irving Park/Broadway",0,0
6540025444020,17:00:20,17:00:20,6147,2,"Irving Park/Broadway",0,631
6540025444020,17:02:26,17:02:26,14781,3,"Irving Park/Broadway",0,3192
6540025444020,17:04:26,17:04:26,6155,4,"Irving Park/Broadway",0,5664
6540025444020,17:05:56,17:05:56,6159,5,"Irving Park/Broadway",0,8361
6540025444020,17:07:08,17:07:08,6163,6,"Irving Park/Broadway",0,10983
